Asset ID,Asset Class,Park ID,Park Name,Asset Type,Asset Size,Primary Field,Location,Installation Date,Asset Description,Geometry Type,Point,Line,Polygon
142,ATHLETIC FIELD,847,Elswood Bole Park,SOCCER,LTPD,Yes,"(49.814646144359045, -97.08354000303716)",,,POLYGON,,,"MULTIPOLYGON (((-97.083927015875 49.814758652706, -97.083577214462 49.814373236893, -97.083152990199 49.814524755709, -97.083507582472 49.814919051825, -97.083927015875 49.814758652706)))"
110461,STAND-ALONE PLAY COMPONENT,104,Blue Bird Park,N/A,N/A,N/A,"(49.918518032369974, -97.2041741579384)",,,POINT,POINT (-97.204174157938 49.91851803237),,
420,ATHLETIC FIELD,1361,Buhler Recreation Park,BASEBALL,ADULT,Yes,"(49.87893626190413, -96.98459124774384)",,,POLYGON,,,"MULTIPOLYGON (((-96.984467370889 49.87952650796, -96.984539359185 49.879522343635, -96.984610691415 49.879511790472, -96.984680801718 49.879494932186, -96.984749133924 49.87947190251, -96.984815145969 49.879442884133, -96.984878314196 49.879408107251, -96.984938137504 49.879367847742, -96.984994141331 49.879322424975, -96.985045881409 49.879272199277, -96.985092947296 49.879217569079, -96.985134965631 49.879158967749, -96.985171603091 49.879096860158, -96.985202569039 49.879031738991, -96.985227229393 49.878965329272, -96.985245990071 49.878897018067, -96.985258707437 49.878827328381, -96.985265284125 49.878756793773, -96.985265669782 49.878685954271, -96.985259861454 49.878615352238, -96.985247903613 49.878545528218, -96.98522988781 49.878477016798, -96.985205951977 49.878410342518, -96.985176279373 49.878346015849, -96.985133036565 49.878358377105, -96.984306937082 49.878594519021, -96.983916231361 49.878706200025, -96.984091084424 49.878966451972, -96.984445405763 49.879493815961, -96.984467370889 49.87952650796)))"
23604,SEATING,824,Normand Park,BENCH,N/A,N/A,"(49.80313814382068, -97.12514573047864)",,,POINT,POINT (-97.125145730479 49.803138143821),,
38650,BBQ,345,Kildonan Park,PIT,N/A,N/A,"(49.943389307292584, -97.10161052725465)",,,POINT,POINT (-97.101610527255 49.943389307293),,
42296,ICE SKATING SURFACE,221,Deer Lodge C.C,HOCKEY PEN,N/A,N/A,"(49.882346010350226, -97.22676423582813)",,,POLYGON,,,"MULTIPOLYGON (((-97.226962377766 49.88215731455, -97.226961812802 49.882150307301, -97.226960642092 49.882143375479, -97.226958874464 49.882136571347, -97.226956523244 49.882129946206, -97.226953606161 49.882123550008, -97.226950145207 49.882117430979, -97.226946166478 49.882111635253, -97.226941699973 49.882106206529, -97.226936685039 49.882101097642, -97.226931238404 49.882096451735, -97.226925402653 49.882092305133, -97.226919223417 49.882088690258, -97.226912749009 49.882085635373, -97.22690603005 49.882083164365, -97.226899119076 49.882081296553, -97.226892070122 49.882080046541, -97.226884938302 49.882079424104, -97.226877779378 49.882079434107, -97.226870649326 49.882080076473, -97.226725873701 49.882073146638, -97.22671733203 49.882071936746, -97.226708717196 49.882071480002, -97.226700095478 49.882071779922, -97.226691533207 49.882072834196, -97.226683096258 49.882074634715, -97.22667484954 49.882077167626, -97.226666856502 49.882080413442, -97.226659178637 49.88208434719, -97.226651875017 49.882088938606, -97.226645262675 49.882093936595, -97.226639094643 49.882099473591, -97.226633414725 49.882105510269, -97.226628263263 49.882112003757, -97.226623676842 49.882118907936, -97.226619688036 49.882126173772, -97.226616325173 49.882133749662, -97.226609867618 49.88218551726, -97.226592232047 49.882329526618, -97.22656609389 49.882542965011, -97.226567813166 49.882550536499, -97.226570203306 49.882557923688, -97.226573245118 49.882565067266, -97.22657691418 49.882571909876, -97.226581181032 49.882578396578, -97.226586011416 49.882584475289, -97.226591366547 49.882590097202, -97.226596929103 49.882594996576, -97.226602890048 49.8825994026, -97.226609205756 49.882603283028, -97.22661583001 49.882606609462, -97.22662271433 49.88260935756, -97.226629808335 49.88261150721, -97.226637060109 49.882613042679, -97.226644416583 49.882613952732, -97.226651823919 49.882614230708, -97.226659227909 49.882613874572, -97.22680821222 49.882620217703, -97.226817269837 49.882620543153, -97.226826323387 49.882620119385, -97.226835311002 49.882618949293, -97.226844171267 49.882617040874, -97.226852843633 49.882614407169, -97.22686126884 49.882611066175, -97.226869389313 49.882607040723, -97.226877149562 49.882602358321, -97.226884753498 49.882596848058, -97.226891858034 49.882590707338, -97.226898411051 49.882583981209, -97.226904364479 49.882576719009, -97.226909674647 49.882568974012, -97.2269143026 49.882560803033, -97.226962377766 49.88215731455)))"
45843,STAND-ALONE PLAY COMPONENT,881,Dellwood Green Park,N/A,N/A,N/A,"(49.856354339612196, -97.31896714958313)",,,POINT,POINT (-97.318967149583 49.856354339612),,
22697,SEATING,529,Sun Valley Park South,BENCH,N/A,N/A,"(49.93752155223172, -97.05330231877493)",,,POINT,POINT (-97.053302318775 49.937521552232),,
75999,SANDBOX,4441,Essar Park,N/A,N/A,N/A,"(49.945626158025476, -97.0922935774611)",,,POLYGON,,,"MULTIPOLYGON (((-97.092301808362 49.945645409073, -97.092323073142 49.945620335997, -97.092283976881 49.945606906978, -97.09226408178 49.945632299926, -97.092301808362 49.945645409073)))"
126555,STAND-ALONE PLAY COMPONENT,6843,Glenella Gardens Park,N/A,N/A,N/A,"(49.969849770597314, -97.112930855135)",,,POINT,POINT (-97.112930855135 49.969849770597),,
283,ATHLETIC FIELD,968,Dalhousie Forest,BASEBALL,ADULT,Yes,"(49.79369699784972, -97.14781720553239)",,,POLYGON,,,"MULTIPOLYGON (((-97.148675499646 49.79400848388, -97.148215521 49.793444276956, -97.148103195211 49.793306496613, -97.148082637577 49.793281280244, -97.148042125975 49.79329509965, -97.146958911418 49.793664599896, -97.14706762155 49.793757680843, -97.147183920986 49.793841085859, -97.147306951071 49.793914199152, -97.147435803457 49.793976480916, -97.147569526807 49.794027471317, -97.147707133824 49.794066793885, -97.147845104125 49.794093779344, -97.147984858652 49.794109033551, -97.148125401746 49.79411244783, -97.14826573213 49.794103997856, -97.148404850041 49.794083743831, -97.148541764355 49.79405183005, -97.148675499646 49.79400848388)))"
999,SPORT COURT,59,Central Corydon C.C-River Heights Site,TENNIS,SINGLE,Yes,"(49.866106577321226, -97.1810566833899)",,,POLYGON,,,"MULTIPOLYGON (((-97.181105808916 49.866214937251, -97.181122060276 49.866001864777, -97.181009647045 49.865998217392, -97.180991306504 49.866210927893, -97.181105808916 49.866214937251)))"
46271,STAND-ALONE PLAY COMPONENT,368,Tanoak Tot Lot,N/A,N/A,N/A,"(49.94738012378338, -97.13384833099836)",,,POINT,POINT (-97.133848330998 49.947380123783),,
22675,SEATING,345,Kildonan Park,BENCH,N/A,N/A,"(49.94164562085474, -97.09876213533268)",,,POINT,POINT (-97.098762135333 49.941645620855),,
89504,STAND-ALONE PLAY COMPONENT,999,Assiniboine Park,N/A,N/A,N/A,"(49.87199329913279, -97.23168050352879)",,,POINT,POINT (-97.231680503529 49.871993299133),,
75173,SEATING,3151,Waterford Green,BENCH,N/A,N/A,"(49.959002282896606, -97.1972367668166)",,,POINT,POINT (-97.197236766817 49.959002282897),,
71830,SEATING,2828,Water Bend Park,BENCH,N/A,N/A,"(49.79716955343254, -97.20813977419509)",,,POINT,POINT (-97.208139774195 49.797169553433),,
82289,SEATING,449,Roger Le Grand Park,BENCH,N/A,N/A,"(49.947861846176615, -97.20040601852723)",,,POINT,POINT (-97.200406018527 49.947861846177),,
43893,SPORT COURT,622,Clara Hughes Recreation Park,PICKLEBALL,FULL COURT,Yes,"(49.91536520839301, -97.11285494322027)",,,POLYGON,,,"MULTIPOLYGON (((-97.112917169929 49.915416772947, -97.112956022344 49.915368485643, -97.112791354087 49.915313643839, -97.112753864097 49.915362100616, -97.112917169929 49.915416772947)))"
74000,SWING SET,3449,Sage Creek-Warde Park,N/A,2 BAY,N/A,"(49.82856037698858, -97.03370701418997)",,,POINT,POINT (-97.03370701419 49.828560376989),,
52155,STAND-ALONE PLAY COMPONENT,468,Sherwood Park,N/A,N/A,N/A,"(49.910380418082966, -97.08689020745976)",,,POINT,POINT (-97.08689020746 49.910380418083),,
23278,SEATING,402,Machray Park,BENCH,N/A,N/A,"(49.92482791814583, -97.1371163948142)",,,POINT,POINT (-97.137116394814 49.924827918146),,
22752,SEATING,669,Parc De La Seigneurie,BENCH,N/A,N/A,"(49.835989137246706, -97.0510556458465)",,,POINT,POINT (-97.051055645846 49.835989137247),,
131032,STAND-ALONE PLAY COMPONENT,9,Central Park,N/A,N/A,N/A,"(49.897023115435545, -97.14926585540276)",,,POINT,POINT (-97.149265855403 49.897023115436),,
132045,SEATING,1220,St. James Memorial Sports Park,BENCH,N/A,N/A,"(49.888489727346226, -97.2276189978677)",,,POINT,POINT (-97.227618997868 49.888489727346),,
45014,STAND-ALONE PLAY COMPONENT,632,Elmwood Winter Club,N/A,N/A,N/A,"(49.909603090006975, -97.1134903369687)",,,POINT,POINT (-97.113490336969 49.909603090007),,
40949,PARKING LOT,605,Park City West C.C,N/A,N/A,N/A,"(49.90726979762529, -97.01761438712279)",,,POLYGON,,,"MULTIPOLYGON (((-97.017432623321 49.907525322721, -97.017818612419 49.907420769181, -97.017782935993 49.907288569969, -97.017779123376 49.907275302655, -97.017775891591 49.907264056541, -97.017695618686 49.907014272529, -97.017577783186 49.90702851249, -97.017428094858 49.907048551, -97.017536291767 49.907419113118, -97.017410161826 49.907449124977, -97.017432623321 49.907525322721)))"
22462,SEATING,345,Kildonan Park,BENCH,N/A,N/A,"(49.94232252848188, -97.10365320404972)",,,POINT,POINT (-97.10365320405 49.942322528482),,
62105,SEATING,342,Kingsbury-Andrews Park,BENCH,N/A,N/A,"(49.942896942388444, -97.1252373114881)",,,POINT,POINT (-97.125237311488 49.942896942388),,
90631,STAND-ALONE PLAY COMPONENT,6741,Rooster Town Park,N/A,N/A,N/A,"(49.85584188357751, -97.17338129495312)",,,POINT,POINT (-97.173381294953 49.855841883578),,
24563,SEATING,1190,Wellington Stradbrook Buffer,BENCH,N/A,N/A,"(49.875515285648504, -97.14997825713165)",,,POINT,POINT (-97.149978257132 49.875515285649),,
45621,STAND-ALONE PLAY COMPONENT,626,Hap Hopkinson Memorial Park,N/A,N/A,N/A,"(49.9034439322559, -97.07497196498386)",,,POINT,POINT (-97.074971964984 49.903443932256),,
119715,SEATING,964,King's Park,BENCH,N/A,N/A,"(49.79949951405111, -97.12204540340716)",,,POINT,POINT (-97.122045403407 49.799499514051),,
40867,PARKING LOT,5,Marj Edey Park,N/A,N/A,N/A,"(49.84161950221006, -97.27518137564661)",,,POLYGON,,,"MULTIPOLYGON (((-97.275537854906 49.841661284294, -97.275541584519 49.841604918789, -97.275410379277 49.841599955718, -97.275395611148 49.841588585548, -97.275397637148 49.841541338019, -97.274836925822 49.841522287958, -97.274821166775 49.841693769466, -97.27538898295 49.841716716462, -97.27539156413 49.841653866642, -97.275537854906 49.841661284294)))"
22390,SEATING,338,Leila Tot Lot,BENCH,N/A,N/A,"(49.94082096979034, -97.10964153341112)",,,POINT,POINT (-97.109641533411 49.94082096979),,
45165,STAND-ALONE PLAY COMPONENT,1361,Buhler Recreation Park,N/A,N/A,N/A,"(49.87626116968001, -96.98689167382794)",,,POINT,POINT (-96.986891673828 49.87626116968),,
62411,FITNESS EQUIPMENT,554,Shaughnessy Park,FITNESS TRAIL STATION,N/A,N/A,"(49.93439902095874, -97.18911297485587)",,,POINT,POINT (-97.189112974856 49.934399020959),,
122661,SEATING,1037,Sun Valley Park North,BENCH,N/A,N/A,"(49.93839020423939, -97.04973058419729)",,,POINT,POINT (-97.049730584197 49.938390204239),,
37939,MONUMENT,143,Westview Park,OTHER,N/A,N/A,"(49.90357044132139, -97.19296506863486)",,Compass (W),POINT,POINT (-97.192965068635 49.903570441321),,
45483,STAND-ALONE PLAY COMPONENT,304,Riverbend Park,N/A,N/A,N/A,"(49.96153173693124, -97.09872069150163)",,,POINT,POINT (-97.098720691502 49.961531736931),,
117563,SWING SET,1233,McBey Playground,N/A,2 BAY,N/A,"(49.87798146625302, -97.28673169043533)",,,POINT,POINT (-97.286731690435 49.877981466253),,
24734,SEATING,858,Parc Branconnier,BENCH,N/A,N/A,"(49.85478363551128, -97.30950281755547)",,,POINT,POINT (-97.309502817555 49.854783635511),,
24944,SEATING,127,Enderton Park,BENCH,N/A,N/A,"(49.87251907134951, -97.16150367104196)",,,POINT,POINT (-97.161503671042 49.87251907135),,
